,Crimes_Z0T100,Crimes_Z0T101,Crimes_Z0T102,Crimes_Z0T103,Crimes_Z0T104,Crimes_Z1T100,Crimes_Z1T101,Crimes_Z1T102,Crimes_Z1T103,Crimes_Z1T104,Crimes_Z2T100,Crimes_Z2T101,Crimes_Z2T102,Crimes_Z2T103,Crimes_Z2T104,Crimes_Z3T100,Crimes_Z3T101,Crimes_Z3T102,Crimes_Z3T103,Crimes_Z3T104,Crimes_Z4T100,Crimes_Z4T101,Crimes_Z4T102,Crimes_Z4T103,Crimes_Z4T104
2020-02-22,57,52,15,47,87,21,13,5.0,25,28,11,24.0,5.0,15,24,21,14,5.0,35,42,5.0,3.0,3.0,9.0,8.0
2020-02-23,77,35,6,62,78,16,21,6.0,25,29,12,7.0,5.0,13,15,5,10,4.0,29,16,9.0,2.0,0.0,3.0,3.0
2020-02-24,68,35,22,88,87,33,30,13.0,22,35,5,12.0,7.0,17,22,18,22,6.0,28,33,7.0,6.0,1.0,4.0,12.0
2020-02-25,87,51,15,82,94,21,16,7.0,30,33,9,8.0,10.0,11,28,14,16,11.0,28,15,3.0,3.0,0.0,5.0,6.0
2020-02-26,63,50,9,72,90,22,22,4.0,19,33,14,17.0,9.0,22,18,16,11,8.0,37,25,11.0,3.0,1.0,11.0,7.0
2020-02-27,72,46,9,68,96,30,17,6.0,24,31,10,9.0,8.0,22,31,12,16,12.0,33,27,10.0,6.0,3.0,5.0,7.0
2020-02-28,79,57,17,83,93,18,19,16.0,34,34,7,5.0,7.0,24,16,16,11,10.0,35,20,7.0,1.0,2.0,6.0,7.0
2020-02-29,61,46,10,50,75,20,17,6.0,28,31,13,9.0,4.0,16,25,18,15,4.0,28,20,3.0,6.0,0.0,5.0,7.0
2020-03-01,57,37,10,55,76,16,16,5.0,20,35,14,5.0,2.0,9,15,22,11,11.0,19,36,1.0,5.0,0.0,4.0,11.0
2020-03-02,67,52,12,76,98,20,27,12.0,32,57,13,8.0,5.0,16,33,12,13,13.0,39,31,8.0,5.0,1.0,9.0,15.0
2020-03-03,68,44,15,60,86,15,15,10.0,26,41,11,14.0,5.0,26,23,18,13,9.0,27,32,6.0,4.0,2.0,10.0,8.0
2020-03-04,70,41,23,70,70,15,13,11.0,28,37,9,7.0,5.0,15,19,18,23,10.0,40,33,6.0,2.0,1.0,10.0,4.0
2020-03-05,65,47,15,77,85,23,15,9.0,25,34,16,9.0,12.0,19,21,13,12,6.0,31,26,0.0,4.0,1.0,5.0,12.0
2020-03-06,65,29,11,76,81,23,15,7.0,20,39,5,9.0,9.0,22,18,16,15,8.0,33,35,8.0,4.0,1.0,8.0,10.0
2020-03-07,42,34,7,60,84,18,17,4.0,19,44,12,6.0,3.0,15,15,11,23,7.0,18,24,9.0,1.0,0.0,5.0,6.0
2020-03-08,76,39,1,52,89,17,14,8.0,18,24,14,9.0,4.0,23,21,16,10,5.0,22,33,7.0,2.0,2.0,4.0,5.0
2020-03-09,63,46,16,65,98,25,20,6.0,29,50,10,9.0,5.0,17,24,16,12,7.0,35,33,4.0,7.0,2.0,2.0,12.0
2020-03-10,44,51,21,93,77,18,18,10.0,26,38,10,6.0,3.0,18,25,13,16,3.0,37,28,9.0,8.0,1.0,6.0,9.0
2020-03-11,75,55,13,59,81,21,16,10.0,22,40,10,9.0,11.0,24,33,21,18,15.0,33,23,4.0,2.0,1.0,5.0,9.0
2020-03-12,66,41,11,52,69,16,11,11.0,36,38,19,7.0,5.0,16,12,9,12,6.0,24,31,5.0,3.0,1.0,2.0,3.0
2020-03-13,62,41,17,61,69,22,12,6.0,31,33,5,12.0,3.0,18,11,6,17,5.0,19,29,4.0,6.0,1.0,3.0,7.0
2020-03-14,51,35,11,53,83,21,18,6.0,16,25,12,5.0,5.0,20,12,15,10,3.0,27,29,9.0,3.0,1.0,5.0,9.0
2020-03-15,84,29,10,44,68,10,7,4.0,9,26,13,7.0,3.0,16,15,9,12,3.0,27,23,7.0,9.0,0.0,9.0,9.0
2020-03-16,88,37,8,69,86,20,18,9.0,27,47,13,6.0,6.0,23,22,10,16,7.0,26,30,6.0,2.0,0.0,6.0,8.0
2020-03-17,49,37,14,66,81,17,15,7.0,27,39,12,4.0,2.0,19,27,16,14,6.0,35,31,8.0,4.0,1.0,12.0,6.0
2020-03-18,50,21,12,68,73,13,8,8.0,21,36,7,8.0,4.0,8,15,12,7,1.0,25,22,11.0,7.0,0.0,6.0,5.0
2020-03-19,44,31,6,42,66,8,13,5.0,16,25,6,6.0,1.0,13,16,9,12,3.0,24,27,3.0,1.0,0.0,7.0,7.0
2020-03-20,57,33,4,43,65,13,7,7.0,11,26,11,6.0,1.0,8,16,10,10,6.0,25,16,4.0,5.0,0.0,1.0,4.0
2020-03-21,51,38,4,39,55,13,17,2.0,14,25,9,7.0,1.0,12,15,9,10,4.0,17,17,2.0,5.0,0.0,2.0,15.0
2020-03-22,41,45,3,32,68,19,12,3.0,10,25,12,7.0,0.0,5,5,11,10,1.0,12,12,3.0,1.0,1.0,6.0,5.0
2020-03-23,52,33,9,54,71,27,19,5.0,26,35,12,4.0,1.0,11,11,4,18,8.0,24,18,2.0,3.0,0.0,3.0,8.0
2020-03-24,68,50,11,64,81,22,18,8.0,17,34,8,9.0,2.0,10,15,16,18,5.0,23,23,11.0,7.0,2.0,6.0,10.0
2020-03-25,63,41,9,49,94,14,9,14.0,22,32,3,8.0,4.0,17,14,7,15,7.0,25,25,2.0,8.0,1.0,7.0,8.0
2020-03-26,39,30,10,37,72,31,28,4.0,19,39,12,8.0,8.0,8,25,17,11,6.0,24,28,5.0,3.0,1.0,13.0,6.0
2020-03-27,54,41,12,51,86,21,15,2.0,13,33,12,6.0,3.0,15,18,14,14,3.0,28,20,6.0,2.0,2.0,1.0,8.0
2020-03-28,56,26,8,55,62,26,11,9.0,15,38,7,8.0,1.0,10,15,13,16,2.0,24,23,4.0,1.0,1.0,2.0,3.0
2020-03-29,59,33,3,46,61,7,5,3.0,4,19,9,4.0,2.0,8,7,7,14,2.0,20,23,4.0,4.0,0.0,2.0,7.0
2020-03-30,46,47,7,47,65,18,16,5.0,11,35,10,4.0,2.0,18,18,9,14,4.0,27,28,2.0,2.0,1.0,6.0,11.0
2020-03-31,48,43,14,51,80,19,13,9.0,25,31,13,5.0,6.0,23,21,10,17,9.0,26,22,4.0,5.0,0.0,4.0,8.0
2020-04-01,56,33,8,57,83,26,17,6.0,19,31,13,4.0,5.0,14,16,19,12,8.0,22,31,6.0,2.0,1.0,3.0,12.0
2020-04-02,40,30,11,40,76,30,16,10.0,11,32,6,4.0,4.0,7,14,10,13,6.0,25,26,3.0,6.0,0.0,3.0,14.0
2020-04-03,41,41,5,56,61,15,12,2.0,12,36,2,8.0,3.0,10,21,11,10,5.0,21,27,5.0,2.0,0.0,5.0,8.0
2020-04-04,67,45,7,42,74,13,10,6.0,12,21,7,7.0,2.0,8,18,18,5,5.0,16,30,11.0,2.0,2.0,1.0,12.0
2020-04-05,38,41,3,44,60,8,7,5.0,11,31,8,3.0,0.0,10,10,16,16,0.0,16,14,5.0,3.0,0.0,6.0,8.0
2020-04-06,63,44,15,59,100,26,14,9.0,23,29,6,2.0,4.0,15,22,12,18,5.0,33,32,7.0,1.0,0.0,6.0,10.0
2020-04-07,46,37,3,36,72,24,11,1.0,11,36,13,4.0,6.0,17,19,10,15,4.0,20,29,4.0,4.0,0.0,5.0,6.0
2020-04-08,60,33,11,45,88,13,15,7.0,20,41,6,4.0,1.0,14,14,10,6,6.0,32,25,9.0,3.0,0.0,3.0,5.0
2020-04-09,46,40,12,35,58,15,9,5.0,23,22,5,3.0,4.0,11,23,12,12,2.0,20,17,4.0,1.0,0.0,2.0,13.0
2020-04-10,76,31,6,24,82,9,10,3.0,9,28,9,8.0,6.0,16,22,5,11,11.0,16,27,5.0,10.0,1.0,3.0,8.0
2020-04-11,55,42,6,50,72,18,6,9.0,16,34,14,9.0,8.0,16,26,16,14,5.0,19,21,4.0,5.0,2.0,8.0,6.0
2020-04-12,62,42,5,32,66,20,11,1.0,23,28,11,3.0,2.0,10,12,13,11,2.0,16,28,4.0,5.0,1.0,5.0,6.0
2020-04-13,70,50,18,58,90,21,17,5.0,14,45,7,6.0,3.0,15,18,17,15,6.0,35,31,4.0,6.0,0.0,7.0,7.0
2020-04-14,59,46,12,56,107,14,9,8.0,20,38,8,7.0,2.0,9,25,11,14,9.0,24,29,8.0,2.0,2.0,3.0,5.0
2020-04-15,61,42,13,58,91,18,18,11.0,32,34,9,7.0,5.0,14,13,9,12,11.0,36,30,4.0,7.0,1.0,6.0,6.0
2020-04-16,67,45,12,54,81,17,22,5.0,29,53,8,9.0,5.0,22,30,8,16,7.0,35,32,5.0,4.0,0.0,3.0,11.0
2020-04-17,57,42,10,50,92,18,14,8.0,16,41,9,10.0,2.0,13,26,14,16,5.0,31,30,11.0,2.0,1.0,5.0,12.0
2020-04-18,58,43,8,51,63,26,25,8.0,22,40,9,12.0,5.0,9,19,9,17,7.0,28,30,4.0,5.0,3.0,2.0,7.0
2020-04-19,49,42,3,45,90,19,17,6.0,11,24,11,7.0,2.0,7,10,11,15,1.0,13,22,6.0,6.0,0.0,7.0,10.0
2020-04-20,59,49,11,71,100,29,9,11.0,19,34,11,9.0,8.0,20,17,12,15,12.0,23,46,3.0,8.0,1.0,7.0,10.0
2020-04-21,61,35,13,55,108,23,17,5.0,19,33,8,9.0,13.0,19,22,14,18,15.0,28,40,6.0,3.0,1.0,5.0,11.0
2020-04-22,62,27,18,54,80,20,24,12.0,21,34,20,14.0,4.0,10,19,17,18,7.0,27,22,7.0,1.0,3.0,4.0,11.0
2020-04-23,63,33,18,53,84,18,22,7.0,26,27,12,14.0,2.0,10,12,14,14,9.0,24,46,10.0,7.0,1.0,0.0,10.0
2020-04-24,69,46,13,64,101,20,15,7.0,17,35,7,10.0,6.0,16,21,18,9,6.0,25,19,7.0,6.0,0.0,4.0,11.0
2020-04-25,70,46,6,52,72,25,19,6.0,42,31,13,6.0,2.0,19,21,10,16,6.0,25,20,6.0,1.0,0.0,3.0,5.0
2020-04-26,80,35,7,59,80,32,16,3.0,17,31,11,4.0,3.0,8,10,12,14,3.0,19,25,3.0,6.0,1.0,6.0,13.0
2020-04-27,66,46,8,60,98,21,16,9.0,24,44,12,7.0,5.0,17,29,15,12,8.0,29,43,7.0,4.0,4.0,7.0,13.0
2020-04-28,73,51,9,58,107,28,15,8.0,22,45,15,6.0,2.0,10,30,10,26,13.0,23,31,5.0,2.0,1.0,4.0,10.0
2020-04-29,55,50,13,58,67,24,8,4.0,22,48,10,8.0,11.0,6,16,14,10,9.0,30,39,4.0,5.0,2.0,3.0,7.0
2020-04-30,58,54,12,44,85,18,20,12.0,28,50,12,8.0,4.0,12,20,19,16,4.0,34,43,4.0,5.0,1.0,2.0,11.0
2020-05-01,50,37,13,53,98,14,12,5.0,15,37,10,10.0,5.0,8,20,17,9,6.0,16,33,5.0,3.0,1.0,5.0,7.0
2020-05-02,76,45,6,35,72,23,21,6.0,20,30,9,6.0,0.0,10,16,11,20,10.0,20,34,2.0,6.0,1.0,3.0,14.0
2020-05-03,51,47,5,32,72,25,16,1.0,23,35,15,8.0,7.0,16,17,26,10,4.0,27,24,5.0,3.0,0.0,2.0,5.0
2020-05-04,72,53,8,52,105,14,15,4.0,18,48,9,11.0,5.0,14,22,13,24,6.0,28,39,3.0,3.0,0.0,6.0,15.0
2020-05-05,58,33,16,66,92,27,18,7.0,15,43,15,6.0,4.0,15,13,22,18,12.0,37,33,6.0,5.0,3.0,6.0,13.0
2020-05-06,72,45,15,70,77,24,17,4.0,25,43,6,8.0,10.0,13,19,13,15,7.0,26,25,5.0,5.0,2.0,2.0,15.0
2020-05-07,68,38,13,49,77,15,18,5.0,28,41,8,9.0,4.0,13,20,16,17,4.0,16,28,11.0,7.0,0.0,9.0,5.0
2020-05-08,75,38,14,47,96,23,12,4.0,12,24,4,10.0,0.0,11,23,8,11,12.0,25,31,4.0,4.0,1.0,6.0,12.0
2020-05-09,56,37,7,49,69,16,15,6.0,13,29,16,4.0,5.0,8,18,11,27,5.0,15,18,6.0,7.0,1.0,1.0,9.0
2020-05-10,66,30,6,38,82,16,16,2.0,19,43,7,7.0,1.0,8,14,14,19,6.0,23,29,6.0,5.0,1.0,4.0,8.0
2020-05-11,52,35,7,64,88,21,10,3.0,16,37,12,7.0,6.0,18,22,15,8,4.0,34,33,4.0,6.0,0.0,7.0,8.0
2020-05-12,54,42,17,56,87,16,15,5.0,17,49,13,7.0,10.0,9,20,13,18,10.0,29,36,3.0,7.0,4.0,1.0,9.0
2020-05-13,63,35,12,41,108,18,13,6.0,22,32,10,7.0,4.0,13,23,9,21,8.0,36,19,5.0,5.0,1.0,5.0,4.0
2020-05-14,48,39,10,54,99,17,13,8.0,24,34,7,15.0,2.0,14,13,19,16,7.0,22,45,2.0,6.0,3.0,4.0,5.0
2020-05-15,53,36,7,54,88,19,11,4.0,18,36,12,10.0,8.0,9,25,12,12,6.0,35,26,10.0,3.0,3.0,0.0,7.0
2020-05-16,77,44,11,37,81,26,19,3.0,18,28,5,2.0,5.0,12,24,16,8,8.0,29,27,3.0,9.0,0.0,10.0,9.0
2020-05-17,71,41,13,54,62,23,18,4.0,18,41,17,13.0,3.0,7,13,28,18,1.0,20,20,4.0,1.0,1.0,7.0,7.0
2020-05-18,65,40,16,71,95,26,19,12.0,23,56,14,3.0,5.0,13,24,19,8,7.0,29,31,5.0,3.0,3.0,5.0,11.0
